time,c,psiposmax,psiposmin,strainxxmax,strainxxmin,strainxymax,strainxymin,strainyymax,strainyymin,stressxxmax,stressxxmin,stressxymax,stressxymin,stressyymax,stressyymin
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.010128508808343,1.6906080314436e-07,5.3729711692246e-66,1.1924422733607e-05,-1.1897542711269e-05,0.031616772538988,-0.0082819219053035,0.00016749472203177,-0.00016748425738619,6.255890781516e-07,-6.2767973350225e-07,1.0680264674492e-05,-2.7978470418562e-06,6.8618827981776e-07,-6.8828478337834e-07
200,0.010716662676756,6.6634748841006e-07,2.0029073386947e-63,0.00025706494438088,-0.00025536578250628,0.062737726567779,-0.015450745692946,0.0010482308837266,-0.0010474069212473,3.1091711202473e-06,-3.1315112196721e-06,2.1180607636925e-05,-5.2183589268303e-06,3.5492736899158e-06,-3.5719253885994e-06
300,0.011222557872904,1.4548509512747e-06,1.8468707785523e-66,0.001242983419914,-0.001231638954986,0.092766925634585,-0.020828395629127,0.0026189771620521,-0.0026097923805804,5.4443450699099e-06,-5.5060478189965e-06,3.1275951028417e-05,-7.0299749272768e-06,6.7176013135697e-06,-6.7806632438753e-06
400,0.011715137759566,2.4741116014562e-06,5.0259330264642e-62,0.0032377380276062,-0.0031963961111428,0.12091227187346,-0.024070579508715,0.0047937239314145,-0.0048245751186154,7.0139717956724e-06,-7.1050178147593e-06,4.0672804787596e-05,-8.1144691482102e-06,9.4526583527799e-06,-9.5456574150897e-06
500,0.012215654468243,3.6234610974086e-06,0,0.006006958104737,-0.0059064654248002,0.14630209620692,-0.024914204980075,0.0083158177616814,-0.0083767986720439,8.8847010848424e-06,-8.9817493196785e-06,4.9059074822328e-05,-8.3865335215928e-06,1.2626433105868e-05,-1.2723402185646e-05
600,0.012731224746253,4.7954876989259e-06,1.7494572404817e-62,0.0093948638141524,-0.0092022131045811,0.16823155393646,-0.02309996925633,0.012518762785282,-0.012609163328234,1.0186337641394e-05,-1.0254111645132e-05,5.6193643248865e-05,-7.7594382000795e-06,1.7305886762531e-05,-1.7472414157437e-05
700,0.013263372763428,5.888059826571e-06,2.3127761665446e-60,0.013273834346063,-0.012963797818724,0.18627284047314,-0.018385033906261,0.017125688757122,-0.017237627748941,1.1942961483672e-05,-1.1951624124363e-05,6.1938328442195e-05,-6.1585773233436e-06,2.2009514052852e-05,-2.2186865588898e-05
800,0.013812013351007,6.8083559521452e-06,3.0574583953637e-60,0.017340643251952,-0.016908081444521,0.20020796242538,-0.023048102071954,0.021899613482697,-0.022016478614093,1.3674408802527e-05,-1.3646437793559e-05,6.6242801764457e-05,-7.7512708764466e-06,2.6614904088213e-05,-2.6816271543987e-05
900,0.014375860749205,7.5013311936678e-06,0,0.021417915308917,-0.020864744275378,0.21004508988672,-0.03348206656901,0.026672930908555,-0.026766458246454,1.5272538907111e-05,-1.521713119202e-05,6.9140845818343e-05,-1.124083034648e-05,3.1068438922563e-05,-3.1295284151922e-05
1000,0.014953548860517,8.1341625820405e-06,4.7214581656925e-58,0.025477761055794,-0.024802974935539,0.21891387727553,-0.043429425243738,0.031301288484731,-0.031335940813514,1.6285043194102e-05,-1.6189349668117e-05,7.1553097267342e-05,-1.4550639374222e-05,3.4856904416812e-05,-3.5090376791719e-05
1100,0.015545171173418,8.6964656011885e-06,6.0155105635859e-62,0.029361456520826,-0.028578939742383,0.2262472220872,-0.051750266801055,0.035676303854763,-0.035610690192479,1.6899786872688e-05,-1.679927639523e-05,7.3526123561802e-05,-1.7297958886676e-05,3.8084939227248e-05,-3.8347505689596e-05
1200,0.016151371796086,9.1171171182269e-06,0,0.032953254751567,-0.032071221511936,0.23153306933353,-0.057444992700715,0.039740549855044,-0.039528022369736,1.7421771844973e-05,-1.7294770593717e-05,7.4813716682847e-05,-1.9151957050637e-05,4.100313103717e-05,-4.1253054163728e-05
1300,0.016773426431221,9.4071106752534e-06,0,0.036305056100262,-0.035319780907117,0.23510479955498,-0.05979096320069,0.043444193821973,-0.043040611477249,1.7504453266803e-05,-1.7257251060468e-05,7.5540330484389e-05,-1.9878624830309e-05,4.3264053359866e-05,-4.339112006539e-05
1400,0.017411976834754,9.5897191873012e-06,0,0.039369060759043,-0.038301717893258,0.23728017990984,-0.058379190567999,0.046749366963833,-0.046125006965392,1.7122267281112e-05,-1.6784741934171e-05,7.5814080035046e-05,-1.9351538859684e-05,4.4823419609405e-05,-4.4839967770406e-05
1500,0.018067084200442,9.6859347659189e-06,0,0.042051170752322,-0.040928498030249,0.2383416587864,-0.053119379282733,0.049653927406754,-0.048793720863623,1.667001470935e-05,-1.6313550219431e-05,7.5728788443321e-05,-1.7552652042847e-05,4.6048591628466e-05,-4.6013542389427e-05
1600,0.018738179674059,9.7083214229979e-06,0,0.046420182784711,-0.045097133854044,0.23851933956875,-0.045317600268949,0.053292576770605,-0.053340330617365,1.6006578074726e-05,-1.5555531538925e-05,7.5365604867192e-05,-1.5097268070193e-05,4.695245114553e-05,-4.7539682816479e-05
1700,0.019424494609552,9.6725080845617e-06,0,0.050897836331349,-0.049441233533198,0.23799115137851,-0.054007804591035,0.0584259822077,-0.058357483081826,1.5867164447958e-05,-1.5628120825518e-05,7.478730186603e-05,-1.7950841927631e-05,5.1057910775522e-05,-5.1563854328576e-05
1800,0.020125132064829,9.6322043322468e-06,0,0.055116813095272,-0.053572231729228,0.23750196295493,-0.061592494029347,0.06322323887135,-0.0630104120316,1.6561485605356e-05,-1.6309103533354e-05,7.4040227368324e-05,-2.0421025418796e-05,5.4505476449758e-05,-5.5042546563572e-05
1900,0.020839254112982,9.8403520239381e-06,0,0.058975934694775,-0.057389710623736,0.23996490354277,-0.067471870652292,0.067670675751137,-0.067268766029311,1.7156296845568e-05,-1.7002204946682e-05,7.4192510453169e-05,-2.2311193243573e-05,5.7613629494153e-05,-5.8265994710575e-05
2000,0.02156628610645,1.0068282783201e-05,0,0.06253967208761,-0.060874005389107,0.24262084578323,-0.071127738391175,0.071727769527982,-0.07108686786066,1.7568752613703e-05,-1.7268091649158e-05,7.4562478205885e-05,-2.3454602499032e-05,6.0282207960217e-05,-6.0802590862779e-05
2100,0.022305846206449,1.0302529386784e-05,0,0.06582159588461,-0.064068049277501,0.24531924354498,-0.072160015738973,0.075370501683578,-0.074463576671396,1.7534575294875e-05,-1.7046287308893e-05,7.4948192828503e-05,-2.3725614973331e-05,6.2257905406033e-05,-6.2597194396329e-05
2200,0.023057546463219,1.0525715815851e-05,0,0.068714035922227,-0.066930038325097,0.24786939515538,-0.070455146215716,0.078611831958202,-0.077416935753215,1.7303957852791e-05,-1.6845893774115e-05,7.5292811164532e-05,-2.3048168135201e-05,6.3785417502042e-05,-6.4133472380395e-05
