time,c,psiposmax,psiposmin,strainxxmax,strainxxmin,strainxymax,strainxymin,strainyymax,strainyymin,stressxxmax,stressxxmin,stressxymax,stressxymin,stressyymax,stressyymin
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.00023817180608453,7.909140211164e-06,0,0.0016131960631052,-0.0068952395700445,0.0013896443227324,-0.0013896443048864,0.058609154206637,-0.0097387378195335,0.00024431203757837,-4.0620693053082e-05,4.6945815462525e-07,-4.6945814859641e-07,0.00026353601488202,-4.3823166152512e-05
200,0.00034123280369752,2.1784189987536e-05,0,0.0052375588217456,-0.039225970308589,0.0088287213729483,-0.0088287213391009,0.09666456604884,-0.0085093899029863,0.00040695695427946,-3.5287534079419e-05,2.9823364779322e-06,-2.982336466499e-06,0.00043718456676123,-3.7907202482353e-05
300,0.00043157196813184,2.6486041799835e-05,0,0.0064900821236628,-0.080783112540382,0.021303951309859,-0.021303951323558,0.1167944492691,-0.014575809238683,0.00044784073185029,-4.6743375309567e-05,7.1959990467595e-06,-7.1959990513881e-06,0.00048192477402094,-5.0294575833972e-05
400,0.00051523946954756,2.8893150915742e-05,0,0.0099610316914618,-0.1051090106637,0.036118741549537,-0.036118741498696,0.13290127982572,-0.012796485121116,0.00047064579059542,-5.0770689759294e-05,1.2200031641308e-05,-1.2200031624136e-05,0.00050286121935087,-5.5178975105753e-05
500,0.00059453005277457,2.8053919643563e-05,0,0.0071534958346451,-0.1170213633779,0.053377488082691,-0.053377487896982,0.14948564693323,-0.013481105267293,0.00046127159880533,-5.3770564829647e-05,1.8028502347068e-05,-1.8028502284346e-05,0.00049560475357194,-5.7914051643912e-05
600,0.00067087955594177,3.064750437104e-05,0,0.011322920051074,-0.13451522745318,0.063896269287631,-0.063896268993827,0.16269931372897,-0.017225242152748,0.00048501297463197,-6.5472443966988e-05,2.157982274554e-05,-2.1579822646321e-05,0.0005174733020819,-7.1627122239166e-05
700,0.00074494930296761,2.9600751087147e-05,0,0.0066851066427748,-0.1529271809276,0.068106314159929,-0.068106314347259,0.17221847601383,-0.01488855920966,0.00047393219545607,-5.8141138214287e-05,2.3000083993437e-05,-2.3000084056685e-05,0.00050873030912455,-6.3341620361188e-05
800,0.00081737061612885,3.0926383129846e-05,0,0.011489895996513,-0.15964031383737,0.069913121878842,-0.069913121992536,0.180726275976,-0.020719581893147,0.0004870269328084,-7.8728049000627e-05,2.3608751770107e-05,-2.3608751808494e-05,0.00051954337963853,-8.4846046324142e-05
900,0.00088848813066379,2.9729150236923e-05,0,0.0084417297265076,-0.16214419598437,0.073677432555665,-0.073677432182848,0.18780831724202,-0.015943097045196,0.00047513845378891,-6.1323261708279e-05,2.4874687692707e-05,-2.4874687566849e-05,0.0005094642630166,-6.6514063775022e-05
1000,0.00095865677131532,3.1278616216859e-05,0,0.011473677142731,-0.17160308461999,0.079008769667789,-0.079008769392446,0.19240136531003,-0.022806171715043,0.00048947015519351,-9.0276828457464e-05,2.6673406529799e-05,-2.667340643685e-05,0.00052220722977345,-9.6866970433037e-05
1100,0.0010280085563967,3.0337186080174e-05,0,0.008199212211642,-0.18034010678317,0.082659364924197,-0.082659364751717,0.19609026509677,-0.015992636908793,0.00048003074171701,-6.2799922871847e-05,2.7904124469263e-05,-2.7904124411045e-05,0.00051428142426554,-6.7471037113154e-05
1200,0.0010967437231739,3.1307088155437e-05,0,0.011382300708621,-0.1799810762203,0.08875710869481,-0.088757108627998,0.20076678011587,-0.02489856433816,0.00048933248403679,-9.9370857474476e-05,2.9964566604933e-05,-2.9964566583043e-05,0.00052212776007789,-0.00010649847660576
1300,0.0011649575136448,3.0426618304997e-05,0,0.0087110293220877,-0.1833776464364,0.093836715920741,-0.093836715475348,0.2076754735353,-0.016429145435848,0.00048072274160687,-6.4761677272772e-05,3.1677509416993e-05,-3.1677509266651e-05,0.00051467622499025,-6.9724712222677e-05
1400,0.0012327722142553,3.1353301228945e-05,0,0.011210116628603,-0.18656646671277,0.096705160670009,-0.096705160293811,0.21421354650504,-0.027078476965384,0.0004892696056893,-0.00010560100592392,3.2643821891641e-05,-3.2643821764692e-05,0.00052218577158814,-0.00011437182807451
1500,0.0013002418863941,3.0717037559688e-05,0,0.0090360190270325,-0.19022984655385,0.0980685532962,-0.098068553398631,0.21917239480008,-0.019233666009392,0.00048286792738258,-7.7077658813102e-05,3.310223266741e-05,-3.3102232701928e-05,0.00051677659016519,-8.3374496415266e-05
1600,0.0013674207743737,3.1283833622804e-05,0,0.010957146223143,-0.19921744585108,0.09864708530383,-0.098647084932544,0.22299532711583,-0.028469867035966,0.00048826626451924,-0.00010981495030739,3.3295576392545e-05,-3.329557626722e-05,0.00052128123391258,-0.00011986415354476
