time,c,psiposmax,psiposmin,strainxxmax,strainxxmin,strainxymax,strainxymin,strainyymax,strainyymin,stressxxmax,stressxxmin,stressxymax,stressxymin,stressyymax,stressyymin
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.010308154963639,7.9106661135721e-06,0,0.0016108633115347,-0.0068816343230029,0.0013862248689579,-0.0013862248482516,0.058616216227807,-0.0097475840343807,0.00024211099711477,-4.0647568862669e-05,4.6500119882155e-07,-4.6500119187444e-07,0.00026116423731815,-4.3853536983482e-05
200,0.011676748696158,2.1930417074582e-05,0,0.0052996309646228,-0.039015648857232,0.0087217076150584,-0.0087217075800535,0.09685863597399,-0.0084598697074044,0.00039015824633698,-3.5004382867435e-05,2.8798442794632e-06,-2.8798442679783e-06,0.00041911580893407,-3.7601486516753e-05
300,0.013394746040349,2.7267239047063e-05,0,0.0064892063787803,-0.080784465777161,0.020817573264617,-0.020817573294833,0.11762153052589,-0.014534844201424,0.00040835979155873,-4.6501590833527e-05,6.7872878791997e-06,-6.7872878892507e-06,0.00043955592560019,-5.00371083333e-05
400,0.015428090995929,3.1449269499516e-05,0,0.010886707078281,-0.10638456421649,0.035018829969182,-0.03501882992785,0.13448453644826,-0.012386096853644,0.00041623243477761,-4.9140228013902e-05,1.1408400494507e-05,-1.1408400481055e-05,0.00044445284632675,-5.340698107201e-05
500,0.017777187766335,3.0973853364257e-05,0,0.0070585320911261,-0.11817295491656,0.051697883393061,-0.051697883226475,0.15179407047887,-0.013315290899513,0.00038290477314693,-5.273599151586e-05,1.6640978780011e-05,-1.6640978726387e-05,0.00041175184209384,-5.6796982124144e-05
600,0.02043995774963,3.6661619758833e-05,0,0.013241033073048,-0.13399036526521,0.062175588152771,-0.062175587875497,0.16601431731209,-0.016190936744236,0.00038774224752996,-6.1478652176685e-05,1.975137869001e-05,-1.9751378603343e-05,0.00041327884829243,-6.7265807982884e-05
700,0.023367669749197,3.7742626516064e-05,0,0.012938848169235,-0.15412910352809,0.066429795581517,-0.066429795729209,0.17663035396997,-0.014232160386845,0.00036903145345925,-5.5758408613597e-05,2.0810944449185e-05,-2.0810944492433e-05,0.00039356135280733,-6.0709036296333e-05
800,0.026549799498624,4.1068925902107e-05,0,0.012807901203166,-0.16511988985587,0.067987598380606,-0.067987598462253,0.18625608555127,-0.018887824698021,0.00034667213462565,-7.1407199826179e-05,2.1037520610929e-05,-2.1037520634942e-05,0.00037001981077346,-7.7275617231239e-05
900,0.029952417371041,4.550516595527e-05,0,0.018160467082261,-0.16629595204521,0.070267922615595,-0.070267922011597,0.19493608204801,-0.01517218558628,0.00033992670223463,-5.7781940730661e-05,2.1068208792254e-05,-2.1068208799605e-05,0.00036095806318284,-6.2605797744887e-05
1000,0.033565297120589,4.3777935647423e-05,0,0.011671527290895,-0.17074639895028,0.075109551888391,-0.075109551371123,0.20110470064475,-0.020167492489778,0.00031560997630528,-7.929903592199e-05,2.2056943678699e-05,-2.2056943529414e-05,0.00033823975839531,-8.5056962479528e-05
1100,0.037356022270648,5.1957242527832e-05,0,0.018628825124147,-0.18262177649784,0.078873186040739,-0.078873185632934,0.20557551316766,-0.014718972810064,0.00029871791711398,-5.7762664231665e-05,2.29249188509e-05,-2.2924918735423e-05,0.00032223350158396,-6.2125097595957e-05
1200,0.041309994695276,5.6775925617314e-05,0,0.022218005628784,-0.19124082251598,0.081334257942376,-0.081334257584362,0.21403199681437,-0.021181603804789,0.00028673459008985,-8.477379845612e-05,2.393773377628e-05,-2.3937733693968e-05,0.00030674803784948,-9.0766922454895e-05
1300,0.045401609989685,5.5387003693949e-05,0,0.015897373010206,-0.18960655470776,0.086085242652783,-0.086085243140233,0.22234026410796,-0.014491471266669,0.0002739548891999,-5.6584844235168e-05,2.5156297294477e-05,-2.5156297435031e-05,0.00029314446299504,-6.1152416304481e-05
1400,0.049614033840835,6.4649598880174e-05,0,0.0216980564952,-0.20022491441783,0.089730465567237,-0.089730465758834,0.23027240305644,-0.022418114724216,0.00026670676638538,-8.778686474653e-05,2.590646485134e-05,-2.5906464977219e-05,0.00028556849239885,-9.439533548509e-05
