time,c,psiposmax,psiposmin,strainxxmax,strainxxmin,strainxymax,strainxymin,strainyymax,strainyymin,stressxxmax,stressxxmin,stressxymax,stressxymin,stressyymax,stressyymin
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.01012851830449,1.6927432016658e-07,6.9959895017578e-65,6.0798660145179e-06,-6.056141420188e-06,0.031641480767191,-0.008344021348611,0.00012046760945419,-0.00012045500568214,4.6066916969532e-07,-4.6274513433441e-07,1.0688609034847e-05,-2.8188265499292e-06,5.0340488555475e-07,-5.0548478715107e-07
200,0.010716912285926,6.7063408438088e-07,1.5787995428666e-63,0.00014345433149296,-0.00014243473460002,0.06294080420914,-0.015878554915403,0.00080116421517352,-0.00080041080381121,2.6041584592258e-06,-2.6293156745178e-06,2.124903784485e-05,-5.3628384332035e-06,2.9227143094729e-06,-2.9479710743336e-06
300,0.011224231892303,1.4796706639721e-06,4.0922209187822e-63,0.00074999385654724,-0.00074244798998855,0.093511639518246,-0.022049365587754,0.0021304299371528,-0.002122332210946,5.2981651939039e-06,-5.3832347686671e-06,3.152570130551e-05,-7.4419569801605e-06,6.2657999333126e-06,-6.3511807136641e-06
400,0.011721425943371,2.5520063251155e-06,1.3044433312273e-63,0.0021855096748553,-0.0021544035713114,0.12285749495593,-0.026553388032336,0.0039196173321513,-0.0038824471131182,7.1254404528835e-06,-7.2808155520393e-06,4.1320782771066e-05,-8.9508903354387e-06,9.0951041917066e-06,-9.2497523800632e-06
500,0.012232571626363,3.8278139326509e-06,1.1423841182468e-61,0.0044216573537648,-0.0043380380721492,0.15037506220273,-0.029197078327276,0.006406961744531,-0.0064672713729083,8.6842696475295e-06,-8.8888717326616e-06,5.0404340759149e-05,-9.8232215015432e-06,1.1869344680568e-05,-1.2068407255633e-05
600,0.012767702598698,5.2135682567573e-06,0,0.0072653200141504,-0.0070914490697349,0.17546610821492,-0.029799327074298,0.0099997809073687,-0.010099250885126,1.0561895519858e-05,-1.078210154935e-05,5.8559549156145e-05,-1.0003401362237e-05,1.5048695831305e-05,-1.5252813533792e-05
700,0.013330552360206,6.6217684655026e-06,0,0.010625444748706,-0.010319845573558,0.1976595012171,-0.028177834876806,0.014154405717218,-0.014286994271185,1.191783289174e-05,-1.2110534379198e-05,6.5626844811253e-05,-9.4333470204248e-06,1.9648940158225e-05,-2.0008156570437e-05
800,0.01392194631257,7.9681787281825e-06,1.5049914612e-60,0.014428055331887,-0.013955806315303,0.21666287796791,-0.024171031031871,0.018674899199695,-0.018828032986024,1.3465599064205e-05,-1.3601446420892e-05,7.1513939244762e-05,-8.0627839799131e-06,2.4327404850215e-05,-2.4715810867763e-05
900,0.014541613116432,9.1712370442479e-06,0,0.018465675931649,-0.017811645865728,0.23229683522842,-0.02179268899703,0.023383480097154,-0.023538288694,1.5167401333516e-05,-1.5248108870588e-05,7.618533323655e-05,-7.3108264359314e-06,2.8818288370376e-05,-2.9240904215509e-05
