time,c,psiposmax,psiposmin,strainxxmax,strainxxmin,strainxymax,strainxymin,strainyymax,strainyymin,stressxxmax,stressxxmin,stressxymax,stressxymin,stressyymax,stressyymin
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.00023803906128282,6.5730681416719e-06,0,0.0026322686439499,-0.014582144071324,0.0031396525860577,-0.0031396525619336,0.052745280692423,-0.0022799106511806,0.0002234331671111,-1.0039529238125e-05,1.0606707166629e-06,-1.060670708513e-06,0.00024020000536429,-1.0717721129936e-05
200,0.00033963234664085,1.0725282597368e-05,0,0.004175093289533,-0.05444280897497,0.014947748737984,-0.014947748714279,0.075300654918885,-0.0085606143501312,0.00028555477851754,-2.3978073277311e-05,5.0496711023237e-06,-5.0496710943159e-06,0.00030673586943206,-2.5695990347304e-05
300,0.00042734819834603,1.0681478377979e-05,0,0.00390368112011,-0.071930565032904,0.031398447016451,-0.031398447037803,0.091707587471007,-0.0094277545905147,0.00028427440216211,-3.8273084452645e-05,1.0606992013437e-05,-1.0606992020652e-05,0.00030614020180943,-4.1359213543802e-05
400,0.00050768617367117,1.1624743107082e-05,0,0.0058884439895903,-0.08915968920758,0.041561576057567,-0.041561576035022,0.10474535365644,-0.011861625481451,0.00029843279832874,-4.5436220094103e-05,1.4039913407359e-05,-1.4039913399744e-05,0.00031915959691355,-4.9519463635385e-05
500,0.00058282558943196,1.1998322788068e-05,0,0.0067944890187774,-0.10041611117228,0.044029108114767,-0.044029108009134,0.11346681918718,-0.01242760174132,0.00030362602051295,-4.7183685209943e-05,1.4873063584375e-05,-1.4873063548686e-05,0.00032414895159756,-5.0894823620903e-05
600,0.00065411917947012,1.2140223238294e-05,0,0.0066174901282346,-0.10489885917632,0.048276485852155,-0.048276486215711,0.12000059808164,-0.010999066212931,0.00030526733221285,-4.3604243906452e-05,1.6306729230058e-05,-1.6306729352849e-05,0.0003260522791286,-4.6742176870232e-05
700,0.00072242748225067,1.203665392999e-05,0,0.0057709538693165,-0.11357297597481,0.052212133339179,-0.052212135039559,0.12383785863108,-0.0091423896824784,0.000303448363583,-3.5835319651382e-05,1.7635668914355e-05,-1.7635669488647e-05,0.00032467771965988,-3.8551632628977e-05
800,0.00078832469010834,1.1629534536149e-05,0,0.0044690637199593,-0.11350517286362,0.058313247693276,-0.058313248742632,0.12947203142045,-0.013214741073615,0.00029751070117858,-5.221132511709e-05,1.9696741463176e-05,-1.9696741817553e-05,0.00031916118694988,-5.6595972309352e-05
900,0.00085223681935833,1.1684205242408e-05,0,0.0050241859515412,-0.11812337756504,0.061267477933456,-0.061267478650088,0.13594492750033,-0.01635660428335,0.00029834843528689,-6.3550686788298e-05,2.0694052012349e-05,-2.0694052254325e-05,0.00031988319534194,-6.9288863458797e-05
