time,c,psiposmax,psiposmin,strainxxmax,strainxxmin,strainxymax,strainxymin,strainyymax,strainyymin,stressxxmax,stressxxmin,stressxymax,stressxymin,stressyymax,stressyymin
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.010124426201028,1.692742382337e-07,6.9959712350631e-65,6.0763735760779e-06,-6.0601195146373e-06,0.031641479631354,-0.0083440195889598,0.0001204561490473,-0.00012047285555564,4.6177370867478e-07,-4.6176320929282e-07,1.0689691697045e-05,-2.81892668982e-06,5.0451120790283e-07,-5.045119595692e-07
200,0.010687961225033,6.7062583677742e-07,1.5788375291401e-63,0.00014330645181783,-0.00014264915095911,0.062940741427063,-0.015878396989709,0.00080057398051936,-0.00080120790100299,2.6190818077267e-06,-2.6188212185265e-06,2.1263737715082e-05,-5.3643221644081e-06,2.9377288058973e-06,-2.9379047082743e-06
300,0.011134071702765,1.4795549748644e-06,4.0923473893405e-63,0.00074889145867069,-0.00074441886179783,0.093510941562253,-0.022048016208245,0.0021248176539481,-0.0021289779731682,5.3564062945411e-06,-5.3500517083024e-06,3.1591384537513e-05,-7.4486400021154e-06,6.3248237003491e-06,-6.3216882094299e-06
400,0.011522889395433,2.5514017768532e-06,1.3044084929443e-63,0.0021805033606144,-0.0021638546678912,0.1228535829509,-0.026547594210591,0.0038953182992004,-0.0039089759267905,7.250608205385e-06,-7.2227540829499e-06,4.1504144548978e-05,-8.9687366496718e-06,9.2235425113881e-06,-9.2067886414621e-06
500,0.011872202495887,3.8254942114864e-06,1.1421356698145e-61,0.0044063888022435,-0.0043666667530717,0.15036035959797,-0.029181145922272,0.0064385870518462,-0.006463936966577,8.8859171303658e-06,-8.8287050329644e-06,5.0796440953448e-05,-9.8584054896287e-06,1.2080507861187e-05,-1.2048573032701e-05
600,0.012190555127463,5.2070350903668e-06,0,0.0072314958266167,-0.0071570199285918,0.17542405442055,-0.029772994051822,0.01005601915444,-0.010107347648493,1.0845901652775e-05,-1.0758233143717e-05,5.9263091818265e-05,-1.0058293073352e-05,1.5354960914059e-05,-1.5311878689584e-05
700,0.012483868337055,6.606720434115e-06,0,0.010566193447653,-0.010444508022777,0.19755977206221,-0.028127434967359,0.014236356842241,-0.014324883951082,1.2278425377553e-05,-1.2146989425831e-05,6.6740276593967e-05,-9.5022989554804e-06,2.0180262922271e-05,-2.0078252170683e-05
800,0.01275748188332,7.937829365196e-06,1.5683820442192e-60,0.01433768098446,-0.014159097383757,0.21644002040807,-0.024060760672871,0.018780835258532,-0.018915059345684,1.3950932775845e-05,-1.3714705650898e-05,7.3117322521672e-05,-8.1283791245215e-06,2.5078880195534e-05,-2.494843903149e-05
900,0.013014818489683,9.1165544923208e-06,0,0.018340473159897,-0.018102140825435,0.23188080565467,-0.021983496755033,0.023507264280609,-0.023691077476635,1.5793571180192e-05,-1.5497816978746e-05,7.8332217039952e-05,-7.4267291813413e-06,2.9850127462132e-05,-2.9697169951814e-05
1000,0.013258646349851,1.0081551821841e-05,5.2253471130853e-61,0.022381565032208,-0.022084337312294,0.24381020453497,-0.032269720852499,0.028277377048571,-0.028512644356642,1.7641107805942e-05,-1.7297492585153e-05,8.2360709119435e-05,-1.0901681834233e-05,3.4654169916439e-05,-3.449072106396e-05
1100,0.013490576304199,1.0802637595875e-05,8.9361304331336e-61,0.026419420580167,-0.026063498402099,0.25229794684431,-0.042773432511682,0.032979581795131,-0.033265978762668,1.9226398280764e-05,-1.8834928344886e-05,8.5226442291415e-05,-1.4450053891138e-05,3.917193037114e-05,-3.8997808414689e-05
1200,0.013711790547656,1.1555846082569e-05,5.7881985409268e-59,0.030422683095573,-0.030010866937509,0.26128536257398,-0.052671008401154,0.037510653601178,-0.037843458826693,2.0257246624307e-05,-1.9811561194705e-05,8.8260074618952e-05,-1.7793594078366e-05,4.3066615396593e-05,-4.2872945895611e-05
1300,0.013923514805565,1.2197534733111e-05,2.2683502723065e-58,0.034259072244801,-0.033799738323094,0.26839284969225,-0.061152790233659,0.041794342356208,-0.042167694024232,2.0981028815702e-05,-2.0494618918102e-05,9.0659168290407e-05,-2.065877901713e-05,4.6517025241435e-05,-4.6312513758991e-05
1400,0.014126410677503,1.2690122702026e-05,0,0.037836865523533,-0.03733805600555,0.27369316807502,-0.06749130482614,0.045787823275985,-0.046197757517101,2.1628429136836e-05,-2.1120985213031e-05,9.2447760592972e-05,-2.2799862836339e-05,4.9708307624361e-05,-4.9508577765211e-05
1500,0.014321058853368,1.3041496311556e-05,5.4694798883923e-60,0.041189225818726,-0.040654517062715,0.27742643372403,-0.071115259172828,0.04945712187312,-0.049897733229127,2.1935771373178e-05,-2.1399408685298e-05,9.3706993177451e-05,-2.4023872345748e-05,5.2375011445556e-05,-5.216896202123e-05
1600,0.014507901014695,1.3270048627507e-05,0,0.044325715205099,-0.043761126889654,0.27982822936683,-0.071639017828182,0.052771917587572,-0.053233735248696,2.1727519766932e-05,-2.1150495604983e-05,9.4516454980966e-05,-2.4200560651187e-05,5.4335420751489e-05,-5.4106066615571e-05
