time,c,psiposmax,psiposmin,strainxxmax,strainxxmin,strainxymax,strainxymin,strainyymax,strainyymin,stressxxmax,stressxxmin,stressxymax,stressxymin,stressyymax,stressyymin
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.00039460764925391,6.5771578440466e-06,0,0.002633097665507,-0.014564470946981,0.0031328617585596,-0.0031328617418328,0.052757626852563,-0.0022764023402432,0.0002217895800868,-1.0020358032168e-05,1.0537098222341e-06,-1.0537098166085e-06,0.00023843394702018,-1.0697070959322e-05
200,0.0010125108227046,1.0840232329705e-05,0,0.0041764976234633,-0.054493172501425,0.014843931507902,-0.014843931497862,0.075466936227253,-0.0085609891511896,0.00027791283768894,-2.3999123475006e-05,4.9661059677453e-06,-4.9661059643667e-06,0.00029854531379647,-2.5719921632278e-05
300,0.0018699242412253,1.0975185188218e-05,0,0.0038878106958852,-0.072178639219823,0.031116479438036,-0.031116479496105,0.092076704510187,-0.009335916913,0.00027069863167267,-3.7914251235679e-05,1.0395184916671e-05,-1.0395184936285e-05,0.00029165312176764,-4.0969892155027e-05
400,0.0029751928051128,1.2520342198387e-05,0,0.006897649170609,-0.08916284261635,0.041237425145992,-0.041237425189383,0.10537083039088,-0.011643782263559,0.00028328005937864,-4.4570740663548e-05,1.3702967293425e-05,-1.3702967307941e-05,0.00030245722826307,-4.8609899260815e-05
500,0.0043038296721593,1.3199712763224e-05,0,0.0075476837745156,-0.10130114179839,0.043665276893686,-0.043665276809264,0.11439018984711,-0.012110260945145,0.00028128652053597,-4.5919478911505e-05,1.4431129536565e-05,-1.4431129507286e-05,0.0003000441822912,-4.9583447720397e-05
600,0.0058441347293845,1.3357380074182e-05,0,0.0064535094796115,-0.10504793735946,0.047609870663841,-0.047609871082301,0.12131971358617,-0.010646629232486,0.00027295454182164,-4.2162469657512e-05,1.5521636393721e-05,-1.5521636529509e-05,0.000291830641302,-4.5237114072729e-05
700,0.0075838201611914,1.3139947223866e-05,0,0.0043738292754123,-0.1146274857752,0.05166520052586,-0.051665202163349,0.12541008919727,-0.0088004648873555,0.00026070105411311,-3.4515398384317e-05,1.6763277593484e-05,-1.6763278118416e-05,0.00028009020215492,-3.7123303331601e-05
800,0.0095090097331917,1.4252268639311e-05,0,0.0075410940097666,-0.11447879396451,0.057053554412333,-0.057053555500793,0.13180587248535,-0.012608214604475,0.00026414725858191,-4.9852097097319e-05,1.8574738725149e-05,-1.8574739070629e-05,0.00028192798225674,-5.4051905514679e-05
900,0.011608969294059,1.495792753538e-05,0,0.0080422983421331,-0.12059900038162,0.060156637165037,-0.060156638190789,0.13864870019622,-0.015467281609843,0.00026113065687329,-5.9994357006042e-05,1.9481345530376e-05,-1.9481345848473e-05,0.00027853962273607,-6.5428127897263e-05
