time,c,psiposmax,psiposmin,strainxxmax,strainxxmin,strainxymax,strainxymin,strainyymax,strainyymin,stressxxmax,stressxxmin,stressxymax,stressxymin,stressyymax,stressyymin
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.010124436292406,1.6848612007879e-07,5.745167598029e-65,3.3255028870017e-05,-3.3199128580856e-05,0.03155445174761,-0.0081314916643254,0.00027457995801152,-0.00027465631207168,9.6738453121723e-07,-9.6744794980527e-07,1.0660287711512e-05,-2.747126451962e-06,1.0713597197584e-06,-1.0714678983094e-06
200,0.010688029531048,6.5458380633764e-07,9.3737949300172e-64,0.00058771159628094,-0.00058537057487833,0.062206126022936,-0.014470945611539,0.0015125607821599,-0.0015146679275062,3.6167316589009e-06,-3.613176857518e-06,2.1015522872664e-05,-4.8888286108606e-06,4.3212044532363e-06,-4.3193047186846e-06
300,0.011134269810886,1.3931603816247e-06,2.5833701691262e-62,0.0023875533619047,-0.0023744139416668,0.090742599206369,-0.018127457104229,0.0035671183596733,-0.0035753443421995,5.3351795535971e-06,-5.315386583219e-06,3.0655998965387e-05,-6.124116261667e-06,7.1542673297806e-06,-7.1429482909568e-06
400,0.011523285614806,2.263941640903e-06,1.3134982880195e-62,0.0052278431068527,-0.0051922817247751,0.11566683708738,-0.018616677259246,0.007205534640457,-0.0072306192041178,7.2023194907115e-06,-7.1624413493786e-06,3.9075876344662e-05,-6.2893639424683e-06,1.0595792352448e-05,-1.0562324055258e-05
500,0.011872842684418,3.1240307116705e-06,4.8179207193164e-61,0.0088448890834091,-0.0087751962789521,0.13579202070131,-0.01545868518089,0.011644858496996,-0.011697256549239,8.6684861554462e-06,-8.5760477812844e-06,4.5874173642427e-05,-5.2224469924989e-06,1.5567023292599e-05,-1.5515865350209e-05
600,0.012191457052933,3.8406323139068e-06,1.7447527040923e-60,0.012878692118509,-0.012770613508646,0.1505006010747,-0.017032438523056,0.016424524459481,-0.016509212555122,1.0497411276951e-05,-1.0368300495305e-05,5.0842343161027e-05,-5.7541566131485e-06,2.0360358830229e-05,-2.029644566868e-05
700,0.012485029009083,4.3270164601571e-06,9.7231866271173e-61,0.016962054597724,-0.01681592304544,0.1598521540016,-0.02748917262034,0.021207965006079,-0.021325967160128,1.2122311440748e-05,-1.196249205045e-05,5.4000377134243e-05,-9.2867646928616e-06,2.4967727002464e-05,-2.4897263410353e-05
800,0.01275889184334,4.7921517325318e-06,6.0316637184875e-59,0.020969710486476,-0.020789157216906,0.16824573019795,-0.036895687537227,0.025732670944836,-0.02587954109335,1.3014595051291e-05,-1.2822393031293e-05,5.6834784064603e-05,-1.246452513915e-05,2.8730641209878e-05,-2.8649248918145e-05
900,0.01301647163224,5.1071662270656e-06,5.2001222573501e-62,0.024639910049184,-0.024433152716309,0.17363096288842,-0.043308257346026,0.029831780914817,-0.030002590622845,1.3627229988325e-05,-1.3419191723348e-05,5.8652852308896e-05,-1.4630785850815e-05,3.1958828143058e-05,-3.1878615407304e-05
